year,destination,ucd,raw_n,gap_denominator,raw_probability
2004,OTHER,K631,1,1062,0.0009416195856873823
2004,OTHER,K659,1,1062,0.0009416195856873823
2004,OTHER,K720,1,1062,0.0009416195856873823
2004,OTHER,K721,1,1062,0.0009416195856873823
2004,OTHER,K763,1,1062,0.0009416195856873823
2004,OTHER,K769,3,1062,0.002824858757062147
2004,OTHER,K85,31,1062,0.02919020715630885
2004,OTHER,K861,2,1062,0.0018832391713747645
2004,OTHER,L031,1,1062,0.0009416195856873823
2004,OTHER,M009,1,1062,0.0009416195856873823
2004,OTHER,M069,1,1062,0.0009416195856873823
2004,OTHER,M199,1,1062,0.0009416195856873823
2004,OTHER,M321,2,1062,0.0018832391713747645
2004,OTHER,M609,1,1062,0.0009416195856873823
2004,OTHER,M628,1,1062,0.0009416195856873823
2004,OTHER,M819,1,1062,0.0009416195856873823
2004,OTHER,N039,1,1062,0.0009416195856873823
2004,OTHER,N12,2,1062,0.0018832391713747645
2004,OTHER,N139,1,1062,0.0009416195856873823
2004,OTHER,N179,7,1062,0.006591337099811676
2004,OTHER,N180,4,1062,0.003766478342749529
2004,OTHER,N189,3,1062,0.002824858757062147
2004,OTHER,N19,7,1062,0.006591337099811676
2004,OTHER,N209,1,1062,0.0009416195856873823
2004,OTHER,N210,1,1062,0.0009416195856873823
2004,OTHER,N312,1,1062,0.0009416195856873823
2004,OTHER,N390,10,1062,0.009416195856873822
2004,OTHER,N429,1,1062,0.0009416195856873823
2004,OTHER,Q211,1,1062,0.0009416195856873823
2004,OTHER,Q273,1,1062,0.0009416195856873823
2004,OTHER,Q447,1,1062,0.0009416195856873823
2004,OTHER,Y608,1,1062,0.0009416195856873823
2004,OTHER,Y831,1,1062,0.0009416195856873823
2004,OTHER,Y836,1,1062,0.0009416195856873823
2004,OTHER,Y838,1,1062,0.0009416195856873823
2004,OTHER,Y883,1,1062,0.0009416195856873823
2005,OTHER,D500,1,1046,0.0009560229445506692
2005,OTHER,D589,1,1046,0.0009560229445506692
2005,OTHER,D65,1,1046,0.0009560229445506692
2005,OTHER,D689,1,1046,0.0009560229445506692
2005,OTHER,D696,1,1046,0.0009560229445506692
2005,OTHER,D728,1,1046,0.0009560229445506692
2005,OTHER,D819,1,1046,0.0009560229445506692
2005,OTHER,D869,2,1046,0.0019120458891013384
2005,OTHER,E049,1,1046,0.0009560229445506692
2005,OTHER,E050,1,1046,0.0009560229445506692
2005,OTHER,E059,1,1046,0.0009560229445506692
2005,OTHER,E162,1,1046,0.0009560229445506692
2005,OTHER,E668,4,1046,0.0038240917782026767
2005,OTHER,E669,1,1046,0.0009560229445506692
2005,OTHER,E780,1,1046,0.0009560229445506692
2005,OTHER,E781,1,1046,0.0009560229445506692
2005,OTHER,E785,4,1046,0.0038240917782026767
2005,OTHER,E835,1,1046,0.0009560229445506692
