analysis,scenario,comparison,start_year,end_year,year,group,A_records,B_records,denominator_records,UCF,UCF_CI_lo,UCF_CI_hi,start_weight,end_weight,start_UCF,end_UCF,composition_component,selection_component,total_change,composition_total,selection_total,decomposition_residual,excluded_A_records,excluded_B_records,metric,metric_value,note
entity_status,raw_entity_axis_status,annual,,,2019,Both,16,14,16,0.875,0.6397717273424132,0.9650225122567595,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2019,entity_no_K80,1,1,1,1.0,0.20654931437723742,1.0,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2019,entity_unknown,0,0,0,,,,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2020,Part_I_only,1192,998,1192,0.837248322147651,0.8152150309952031,0.8571148954089898,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2020,Part_II_only,699,41,699,0.058655221745350504,0.04352887186837537,0.07860601039188361,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2020,Both,15,13,15,0.8666666666666667,0.6211801716767764,0.9626387408969347,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2020,entity_no_K80,0,0,0,,,,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2020,entity_unknown,0,0,0,,,,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2021,Part_I_only,1301,1117,1301,0.8585703305149884,0.8385780429342553,0.8764513529306173,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2021,Part_II_only,729,51,729,0.06995884773662552,0.05360818480251435,0.09081794931797703,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2021,Both,4,4,4,1.0,0.5101091635454027,1.0,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2021,entity_no_K80,0,0,0,,,,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2021,entity_unknown,0,0,0,,,,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2022,Part_I_only,1369,1166,1369,0.8517165814463111,0.8319078007003948,0.8695570289145568,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2022,Part_II_only,816,44,816,0.05392156862745098,0.040410415064090786,0.07161302292208283,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
